Epoch: 0 	Training Loss: 802.524658
Epoch: 1 	Training Loss: 433.209595
Epoch: 2 	Training Loss: 345.287384
Epoch: 3 	Training Loss: 308.500610
Epoch: 4 	Training Loss: 291.064484
Epoch: 5 	Training Loss: 279.361145
Epoch: 6 	Training Loss: 270.072052
Epoch: 7 	Training Loss: 262.146606
Epoch: 8 	Training Loss: 255.132675
Epoch: 9 	Training Loss: 248.798645
Epoch: 10 	Training Loss: 243.010056
Epoch: 11 	Training Loss: 237.691772
Epoch: 12 	Training Loss: 232.769852
Epoch: 13 	Training Loss: 228.174805
Epoch: 14 	Training Loss: 223.835602
Epoch: 15 	Training Loss: 219.705429
Epoch: 16 	Training Loss: 215.686020
Epoch: 17 	Training Loss: 212.092865
Epoch: 18 	Training Loss: 208.425049
Epoch: 19 	Training Loss: 204.919739
Epoch: 20 	Training Loss: 201.795425
Epoch: 21 	Training Loss: 198.839737
Epoch: 22 	Training Loss: 195.869705
Epoch: 23 	Training Loss: 193.067230
Epoch: 24 	Training Loss: 190.444702
Epoch: 25 	Training Loss: 187.952911
Epoch: 26 	Training Loss: 185.505005
Epoch: 27 	Training Loss: 183.132355
Epoch: 28 	Training Loss: 180.946442
Epoch: 29 	Training Loss: 178.763733
Epoch: 30 	Training Loss: 176.769180
Epoch: 31 	Training Loss: 174.877167
Epoch: 32 	Training Loss: 172.898972
Epoch: 33 	Training Loss: 170.787521
Epoch: 34 	Training Loss: 169.042801
Epoch: 35 	Training Loss: 167.363785
Epoch: 36 	Training Loss: 165.650009
Epoch: 37 	Training Loss: 163.822952
Epoch: 38 	Training Loss: 162.197891
Epoch: 39 	Training Loss: 160.561279
Epoch: 40 	Training Loss: 159.148712
Epoch: 41 	Training Loss: 157.532211
Epoch: 42 	Training Loss: 156.115021
Epoch: 43 	Training Loss: 154.720703
Epoch: 44 	Training Loss: 153.300201
Epoch: 45 	Training Loss: 151.823669
Epoch: 46 	Training Loss: 150.417542
Epoch: 47 	Training Loss: 149.112198
Epoch: 48 	Training Loss: 147.838791
Epoch: 49 	Training Loss: 146.591614
Number of training 50
Pass rate:0.7642543859649122
