Epoch: 0 	Training Loss: 345.615967
Epoch: 1 	Training Loss: 301.987701
Epoch: 2 	Training Loss: 281.112213
Epoch: 3 	Training Loss: 264.120728
Epoch: 4 	Training Loss: 252.360947
Epoch: 5 	Training Loss: 243.093842
Epoch: 6 	Training Loss: 235.427887
Epoch: 7 	Training Loss: 229.055710
Epoch: 8 	Training Loss: 223.341629
Epoch: 9 	Training Loss: 217.987289
Epoch: 10 	Training Loss: 213.456726
Epoch: 11 	Training Loss: 209.229065
Epoch: 12 	Training Loss: 205.259613
Epoch: 13 	Training Loss: 201.976151
Epoch: 14 	Training Loss: 198.965042
Epoch: 15 	Training Loss: 195.930954
Epoch: 16 	Training Loss: 192.881851
Epoch: 17 	Training Loss: 190.304840
Epoch: 18 	Training Loss: 187.876266
Epoch: 19 	Training Loss: 185.238174
Epoch: 20 	Training Loss: 182.987717
Epoch: 21 	Training Loss: 180.651688
Epoch: 22 	Training Loss: 178.896118
Epoch: 23 	Training Loss: 176.952377
Epoch: 24 	Training Loss: 174.813812
Epoch: 25 	Training Loss: 172.894180
Epoch: 26 	Training Loss: 171.305649
Epoch: 27 	Training Loss: 169.579056
Epoch: 28 	Training Loss: 167.960236
Epoch: 29 	Training Loss: 166.569687
Epoch: 30 	Training Loss: 165.493301
Epoch: 31 	Training Loss: 164.281250
Epoch: 32 	Training Loss: 163.062531
Epoch: 33 	Training Loss: 162.172714
Epoch: 34 	Training Loss: 161.201279
Epoch: 35 	Training Loss: 160.347000
Epoch: 36 	Training Loss: 159.259750
Epoch: 37 	Training Loss: 158.385071
Epoch: 38 	Training Loss: 157.500702
Epoch: 39 	Training Loss: 156.651428
Epoch: 40 	Training Loss: 155.927902
Epoch: 41 	Training Loss: 155.045181
Epoch: 42 	Training Loss: 154.346176
Epoch: 43 	Training Loss: 153.681213
Epoch: 44 	Training Loss: 153.064056
Epoch: 45 	Training Loss: 152.322601
Epoch: 46 	Training Loss: 151.619049
Epoch: 47 	Training Loss: 150.990433
Epoch: 48 	Training Loss: 150.285828
Epoch: 49 	Training Loss: 149.496552
Epoch: 50 	Training Loss: 148.890396
Epoch: 51 	Training Loss: 148.330734
Epoch: 52 	Training Loss: 147.707489
Epoch: 53 	Training Loss: 147.189255
Epoch: 54 	Training Loss: 146.625381
Epoch: 55 	Training Loss: 146.155228
Epoch: 56 	Training Loss: 145.601776
Epoch: 57 	Training Loss: 145.127502
Epoch: 58 	Training Loss: 144.668030
Epoch: 59 	Training Loss: 144.199326
Epoch: 60 	Training Loss: 143.737930
Epoch: 61 	Training Loss: 143.206268
Epoch: 62 	Training Loss: 142.751984
Epoch: 63 	Training Loss: 142.322433
Epoch: 64 	Training Loss: 141.897903
Epoch: 65 	Training Loss: 141.515045
Epoch: 66 	Training Loss: 141.103806
Epoch: 67 	Training Loss: 140.699066
Epoch: 68 	Training Loss: 140.300980
Epoch: 69 	Training Loss: 139.910492
Epoch: 70 	Training Loss: 139.526810
Epoch: 71 	Training Loss: 139.172012
Epoch: 72 	Training Loss: 138.805206
Epoch: 73 	Training Loss: 138.443863
Epoch: 74 	Training Loss: 138.104141
Epoch: 75 	Training Loss: 137.747925
Epoch: 76 	Training Loss: 137.385849
Epoch: 77 	Training Loss: 137.040665
Epoch: 78 	Training Loss: 136.700943
Epoch: 79 	Training Loss: 136.366394
Epoch: 80 	Training Loss: 136.037247
Epoch: 81 	Training Loss: 135.726303
Epoch: 82 	Training Loss: 135.446838
Epoch: 83 	Training Loss: 135.137909
Epoch: 84 	Training Loss: 134.770660
Epoch: 85 	Training Loss: 134.529388
Epoch: 86 	Training Loss: 134.252167
Epoch: 87 	Training Loss: 133.933975
Epoch: 88 	Training Loss: 133.701111
Epoch: 89 	Training Loss: 133.421829
Epoch: 90 	Training Loss: 133.071106
Epoch: 91 	Training Loss: 132.850693
Epoch: 92 	Training Loss: 132.481125
Epoch: 93 	Training Loss: 132.270218
Epoch: 94 	Training Loss: 132.012222
Epoch: 95 	Training Loss: 131.749664
Epoch: 96 	Training Loss: 131.487152
Epoch: 97 	Training Loss: 131.226044
Epoch: 98 	Training Loss: 130.966537
Epoch: 99 	Training Loss: 130.710739
Number of training 100
Pass rate:0.8084656084656084
Train version: 0
Test version: 0
