Epoch: 0 	Training Loss: 364.739806
Epoch: 1 	Training Loss: 284.925775
Epoch: 2 	Training Loss: 253.642871
Epoch: 3 	Training Loss: 235.677010
Epoch: 4 	Training Loss: 216.876748
Epoch: 5 	Training Loss: 208.272890
Epoch: 6 	Training Loss: 212.057423
Epoch: 7 	Training Loss: 198.412943
Epoch: 8 	Training Loss: 200.475113
Epoch: 9 	Training Loss: 194.926982
Epoch: 10 	Training Loss: 184.718301
Epoch: 11 	Training Loss: 184.697267
Epoch: 12 	Training Loss: 180.653067
Epoch: 13 	Training Loss: 173.923608
Epoch: 14 	Training Loss: 168.491971
Epoch: 15 	Training Loss: 167.649948
Epoch: 16 	Training Loss: 165.492066
Epoch: 17 	Training Loss: 164.236296
Epoch: 18 	Training Loss: 161.942777
Epoch: 19 	Training Loss: 160.641796
Epoch: 20 	Training Loss: 159.214323
Epoch: 21 	Training Loss: 157.441995
Epoch: 22 	Training Loss: 164.835236
Epoch: 23 	Training Loss: 161.269860
Epoch: 24 	Training Loss: 158.377576
Epoch: 25 	Training Loss: 157.384642
Epoch: 26 	Training Loss: 154.280898
Epoch: 27 	Training Loss: 152.457497
Epoch: 28 	Training Loss: 150.830182
Epoch: 29 	Training Loss: 149.381142
Epoch: 30 	Training Loss: 148.275488
Epoch: 31 	Training Loss: 146.873672
Epoch: 32 	Training Loss: 146.203752
Epoch: 33 	Training Loss: 145.220809
Epoch: 34 	Training Loss: 143.876521
Epoch: 35 	Training Loss: 142.754155
Epoch: 36 	Training Loss: 141.902062
Epoch: 37 	Training Loss: 141.080729
Epoch: 38 	Training Loss: 140.256368
Epoch: 39 	Training Loss: 139.355166
Epoch: 40 	Training Loss: 138.413705
Epoch: 41 	Training Loss: 137.534934
Epoch: 42 	Training Loss: 136.633661
Epoch: 43 	Training Loss: 135.857368
Epoch: 44 	Training Loss: 135.191175
Epoch: 45 	Training Loss: 134.320977
Epoch: 46 	Training Loss: 133.698251
Epoch: 47 	Training Loss: 133.062161
Epoch: 48 	Training Loss: 132.419259
Epoch: 49 	Training Loss: 131.585742
Number of training 50
Pass rate:0.8101921470342524
Train version: 2
Test version: 2
