id,score
14.a3m,94.23455047607422
47.a3m,93.37055206298828
9.a3m,93.28841400146484
20.a3m,93.27978515625
8.a3m,92.64582061767578
28.a3m,91.9141616821289
11.a3m,88.47923278808594
45.a3m,86.80281066894531
2.a3m,86.47895812988281
49.a3m,83.43738555908203
12.a3m,83.08901977539062
32.a3m,81.7878189086914
4.a3m,81.4280776977539
7.a3m,80.20600891113281
29.a3m,79.95430755615234
30.a3m,79.5375747680664
16.a3m,77.90961456298828
15.a3m,72.73533630371094
35.a3m,72.42657470703125
42.a3m,68.22975158691406
19.a3m,68.09410095214844
18.a3m,66.09243774414062
46.a3m,65.4020767211914
48.a3m,64.7882308959961
33.a3m,62.51082992553711
13.a3m,59.04912185668945
31.a3m,58.05546569824219
3.a3m,57.72463607788086
50.a3m,54.50103759765625
17.a3m,54.20181655883789
43.a3m,52.8217658996582
34.a3m,49.50529098510742
23.a3m,49.260501861572266
36.a3m,48.85799026489258
24.a3m,47.9206428527832
10.a3m,43.73503875732422
26.a3m,41.9506950378418
41.a3m,39.012245178222656
22.a3m,38.93653869628906
5.a3m,38.78992462158203
37.a3m,37.01924514770508
1.a3m,36.90764617919922
44.a3m,36.71614456176758
27.a3m,32.950035095214844
38.a3m,32.94135284423828
25.a3m,31.954547882080078
21.a3m,31.306589126586914
40.a3m,31.19768714904785
39.a3m,27.6452579498291
6.a3m,26.74070930480957
